Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1732300563.904588,35.61328125,27.7734375,47.46,0.24,191,305
1732300563.9546611,35.61328125,27.7734375,47.51,0.24,191,306
1732300564.0047965,35.61328125,27.7734375,47.56,0.24,191,306
1732300564.0548718,35.61328125,27.7734375,47.61,0.24,191,306
1732300564.1050143,35.61328125,27.7734375,47.66,0.24,191,306
1732300564.155094,35.61328125,27.7734375,47.71,0.24,191,307
1732300564.2051997,35.61328125,27.7734375,47.76,0.24,191,307
1732300564.2553146,35.61328125,27.7734375,47.81,0.24,191,307
1732300564.3054094,35.61328125,27.7734375,47.86,0.24,191,307
1732300564.3555381,35.61328125,27.7734375,47.91,0.24,191,307
1732300564.4056184,35.61328125,27.7734375,47.96,0.24,191,307
1732300564.4557412,35.61328125,27.7734375,48.01,0.25,191,307
1732300564.5058208,35.61328125,27.7734375,48.06,0.25,191,308
1732300564.5559492,35.61328125,27.7734375,48.11,0.25,191,308
1732300564.606124,35.61328125,27.7734375,48.16,0.25,191,308
1732300564.6562214,35.61328125,27.7734375,48.21,0.25,191,310
1732300564.7063253,35.61328125,27.7734375,48.26,0.25,191,310
1732300564.7563615,35.61328125,27.7734375,48.31,0.25,191,310
1732300564.8065403,35.61328125,27.7734375,48.36,0.25,191,310
1732300564.8566835,35.61328125,27.7734375,48.41,0.25,191,312
1732300564.9067266,35.61328125,27.7734375,48.46,0.25,191,312
1732300564.9569654,35.61328125,27.7734375,48.52,0.25,191,313
1732300565.0069888,35.61328125,27.7734375,48.56,0.25,191,313
1732300565.057135,35.61328125,27.7734375,48.62,0.25,191,313
1732300565.1073036,35.61328125,27.7734375,48.66,0.25,191,313
1732300565.1573262,35.61328125,27.7734375,48.72,0.25,191,313
1732300565.2074587,35.61328125,27.7734375,48.76,0.25,191,313
1732300565.257591,35.61328125,27.7734375,48.81,0.25,191,313
1732300565.3076825,35.61328125,27.7734375,48.86,0.25,191,313
1732300565.357793,35.61328125,27.7734375,48.91,0.25,191,313
1732300565.4079444,35.61328125,27.7734375,48.96,0.25,191,313
1732300565.4579947,35.61328125,27.7734375,49.01,0.25,191,314
1732300565.508102,35.61328125,27.7734375,49.06,0.25,191,314
1732300565.5582137,35.61328125,27.7734375,49.11,0.25,191,314
1732300565.6084104,35.61328125,27.7734375,49.16,0.25,191,314
1732300565.6584225,35.61328125,27.7734375,49.21,0.25,191,314
1732300565.708459,35.61328125,27.7734375,49.26,0.25,191,314
1732300565.7586555,35.61328125,27.7734375,49.31,0.25,191,314
1732300565.808883,35.61328125,27.7734375,49.37,0.25,191,314
1732300565.8589177,35.61328125,27.7734375,49.41,0.26,191,314
1732300565.909046,35.61328125,27.7734375,49.46,0.26,191,314
1732300565.9591353,35.61328125,27.7734375,49.51,0.26,191,314
1732300566.009252,35.61328125,27.7734375,49.56,0.26,191,315
1732300566.0593536,35.61328125,27.7734375,49.61,0.26,191,315
1732300566.1094558,35.61328125,27.7734375,49.66,0.26,191,315
1732300566.1596296,35.61328125,27.7734375,49.71,0.26,191,315
1732300566.2096622,35.61328125,27.7734375,49.76,0.26,191,316
1732300566.2597826,35.61328125,27.7734375,49.81,0.26,191,316
1732300566.3098748,35.61328125,27.7734375,49.86,0.26,191,316
1732300566.3599792,35.61328125,27.7734375,49.91,0.26,191,316
1732300566.4100935,35.61328125,27.7734375,49.96,0.26,191,316
1732300566.4601936,35.61328125,27.7734375,50.01,0.26,191,316
1732300566.5103135,35.61328125,27.7734375,50.06,0.26,191,317
1732300566.5604298,35.61328125,27.7734375,50.11,0.26,191,317
1732300566.610516,35.61328125,27.7734375,50.17,0.26,191,317
1732300566.6606662,35.61328125,27.7734375,50.21,0.26,191,317
1732300566.710765,35.61328125,27.7734375,50.27,0.26,191,317
1732300566.7607958,35.61328125,27.7734375,50.32,0.26,191,317
1732300566.8109534,35.61328125,27.7734375,50.37,0.26,191,317
1732300566.8611162,35.61328125,27.7734375,50.42,0.26,191,317
1732300566.911154,35.61328125,27.7734375,50.47,0.26,191,317
1732300566.9613118,35.61328125,27.7734375,50.52,0.26,191,317
1732300567.0113804,35.61328125,27.7734375,50.56,0.26,191,318
1732300567.0614822,35.61328125,27.7734375,50.62,0.26,191,318
1732300567.1116686,35.61328125,27.7734375,50.66,0.26,191,318
1732300567.1617026,35.61328125,27.7734375,50.72,0.26,191,318
1732300567.2117949,35.61328125,27.7734375,50.76,0.26,191,318
1732300567.2619174,35.61328125,27.7734375,50.82,0.26,191,318
1732300567.31202,35.61328125,27.7734375,50.87,0.26,191,318
1732300567.362124,35.61328125,27.7734375,50.92,0.26,191,318
1732300567.4122422,35.61328125,27.7734375,50.97,0.26,191,318
1732300567.4624114,35.61328125,27.7734375,51.02,0.26,191,318
1732300567.5124307,35.61328125,27.7734375,51.07,0.26,191,319
1732300567.562562,35.61328125,27.7734375,51.12,0.26,191,319
1732300567.612718,35.61328125,27.7734375,51.17,0.26,191,319
1732300567.662792,35.61328125,27.7734375,51.22,0.26,191,319
1732300567.712908,35.61328125,27.7734375,51.27,0.26,191,319
1732300567.762893,35.61328125,27.7734375,51.32,0.26,191,319
1732300567.8131495,35.61328125,27.7734375,51.37,0.26,191,322
1732300567.8632188,35.61328125,27.7734375,51.42,0.26,191,322
1732300567.9133153,35.61328125,27.7734375,51.47,0.26,191,322
1732300567.9634752,35.61328125,27.7734375,51.52,0.26,191,322
1732300568.0135307,35.61328125,27.7734375,51.57,0.26,191,322
1732300568.0636141,35.61328125,27.7734375,51.62,0.26,191,323
1732300568.1137445,35.61328125,27.7734375,51.67,0.27,191,323
1732300568.163855,35.61328125,27.7734375,51.72,0.27,191,323
1732300568.2139475,35.61328125,27.7734375,51.77,0.27,191,325
